car_location,car_mileage,car_link,car_name,car_price,car_license
南宁,7.4万公里,https://www.guazi.com/nn/ec88ff3b506b49e3x.htm#fr_page=list&fr_pos=city&fr_no=0,大众POLO 2012款 1.6L Cross POLO AT,6.48万,2013年
济南,1.1万公里,https://www.guazi.com/jn/92f8d296d89cb113x.htm#fr_page=list&fr_pos=city&fr_no=1,东风风神AX7 2015款 2.0L 自动智逸型,7.95万,2014年
大连,4.7万公里,https://www.guazi.com/dl/022a926d5e57a539x.htm#fr_page=list&fr_pos=city&fr_no=2,奔腾B50 2009款 1.6 手动尊贵型,3.56万,2010年
沈阳,6.5万公里,https://www.guazi.com/sy/ebcda8b516a9f98dx.htm#fr_page=list&fr_pos=city&fr_no=3,起亚赛拉图 欧风 2008款 欧风 1.6 AT GL,3.10万,2009年
唐山,4.7万公里,https://www.guazi.com/tangshan/c7ffadda9555e4a7x.htm#fr_page=list&fr_pos=city&fr_no=4,比亚迪F3 2015款 节能版 1.5L 手动豪华型,3.20万,2015年
天津,5.3万公里,https://www.guazi.com/tj/b88a4b82b7ddbb8cx.htm#fr_page=list&fr_pos=city&fr_no=5,MG3 2013款 1.3L AMT舒适版,3.45万,2013年
嘉兴,6.6万公里,https://www.guazi.com/jiaxing/9040c5f852f2ee6fx.htm#fr_page=list&fr_pos=city&fr_no=6,丰田卡罗拉 2011款 1.6L 自动GL,6.20万,2011年
嘉兴,8.2万公里,https://www.guazi.com/jiaxing/fbd973435355262fx.htm#fr_page=list&fr_pos=city&fr_no=7,大众POLO 2009款 劲情 1.6L 自动风尚版,3.88万,2009年
苏州,1.3万公里,https://www.guazi.com/su/9c62ea7069d456d6x.htm#fr_page=list&fr_pos=city&fr_no=8,雪佛兰创酷 2016款 1.4T 自动两驱舒适天窗版,8.80万,2016年
苏州,0.4万公里,https://www.guazi.com/su/cb7595eee2d4e8adx.htm#fr_page=list&fr_pos=city&fr_no=9,大众朗行 2015款 230TSI DSG舒适版,12.45万,2017年
北京,6.8万公里,https://www.guazi.com/bj/f894ed0814ce9100x.htm#fr_page=list&fr_pos=city&fr_no=10,福特福克斯 2012款 两厢经典 1.8L 自动时尚型,6.20万,2012年
柳州,5.0万公里,https://www.guazi.com/liuzhou/2b8cf3191edcb611x.htm#fr_page=list&fr_pos=city&fr_no=11,大众CC 2013款 1.8TSI 尊贵型,17.13万,2014年
青岛,4.2万公里,https://www.guazi.com/qd/7076f83884e9a22ex.htm#fr_page=list&fr_pos=city&fr_no=12,马自达6 2013款 2.0L 自动时尚型,9.39万,2015年
芜湖,0.4万公里,https://www.guazi.com/wuhu/812ec095d5882d20x.htm#fr_page=list&fr_pos=city&fr_no=13,大众凌渡 2017款 230TSI DSG风尚版,13.28万,2017年
青岛,5.7万公里,https://www.guazi.com/qd/cd0875811ca366dex.htm#fr_page=list&fr_pos=city&fr_no=14,日产奇骏 2010款 2.5L CVT豪华版 4WD,10.78万,2011年
哈尔滨,7.4万公里,https://www.guazi.com/hrb/c08985fc87addb6cx.htm#fr_page=list&fr_pos=city&fr_no=15,起亚K2 2015款 三厢 1.4L AT GLS,6.40万,2016年
北京,4.1万公里,https://www.guazi.com/bj/ccc78858c9a9b024x.htm#fr_page=list&fr_pos=city&fr_no=16,斯柯达速派 2013款 1.8TSI 自动雅仕版,12.50万,2014年
许昌,3.8万公里,https://www.guazi.com/xuchang/0cc170bbd470bc28x.htm#fr_page=list&fr_pos=city&fr_no=17,现代ix25 2015款 1.6L 自动两驱智能型GLS,10.20万,2016年
芜湖,7.1万公里,https://www.guazi.com/wuhu/a0ac858748ca666ex.htm#fr_page=list&fr_pos=city&fr_no=18,奇瑞E5 2011款 1.5L 手动优悦型,2.65万,2013年
长春,3.1万公里,https://www.guazi.com/cc/3a9808d718316e0ax.htm#fr_page=list&fr_pos=city&fr_no=19,宝骏730 2014款 1.5L 手动豪华型 7座,5.70万,2014年
